EventId,EventTemplate,Occurrences
c2c60cf7,invalid radio_idx!,9302
2ce30279,insert <*> in <*>,190
599db117,cli <*> hasn't been updated: bssid <*> current_chan <*>,251
6d3c53ec,<*> assoc cli <*> invalid ul rssi <*>,6023
410d1073,Invalid trigger (<*>) CHAN_MEASUREMENT_COMPLETE,286
bfafdea5,<*> **** No Alternative BSSs(overloaded bss / ESS mismatch / chan not supp ****,286
b0b1d00b,<*> timeout!!! no discovery in db; del <*>,12
24e524f6,<*> mark <*> valid,57
953038c2,<*> reset <*> config states,67
898cc7c4,agent <*> not in topology; delete,41
4d8c1502,<*> reset on all radio,150
2ca40681,no pending task,150
c21968a3,inform local wifi APCLI <*>,23
76e90874,1905 al mac: <*>,12
f29040d3,<*> <*>tx multicast discovery on rax3 for downstream MAP agent,14
c4fd4295,due to new dev connect restart ch planning,74
7f9f4c03,create operational <*> <*>,17
869ea45f,Remove uplink_bh from: <*>,20
13fa1ea0,"<*> iface->is_map_if=<*>, iface_radio->uplink_bh_present=<*>",20
18076c54,<*> no enough bss info for band=<*>! not add extra m2 now,230
685a07e8,<*>(<*>): ptk size < <*>,16
6a6b13a8,wait for event <*> timeout,14
6090fec0,receive <*> <*> fail,16
a26ff2b1,failed to get interface,28
6f6193a8,Wifi Radio not present on remote device,20
d7b40029,BH Entry NULL,70
4fea83fc,RSSI not valid (RSSI=<*>),120
88597f1c,"Input invalid estimate rate:<*>, uplink rate: <*>",228
0b056294,<*>(<*>): cli <*> ptk size <= <*>,218
21b05c49,Auth Rej for client <*> not in DB,30
f2f57324,<*> for client <*> Candidate BSS is NULL,132
1bcace46,<*> client mac <*> info is null,357
bc6303b6,<*> own device is NULL,30
ceaceea1,<*> client db entry for <*> not found,2791
aab1bbb2,"<*> No suitable BSS found, going to the idle state",65
085a4b15,<*> curr_dev is null,190
54fa220a,Not found sta <*> at bssid <*>,5
e1c0761d,update <*> in bss(<*>:0b:2a:cf:e9:<*>),7
415be5ba,mapd_add_client_to_bss_assoc_list: Assoc for already associated,1
6e8623b3,wlan_client 7a:f3:d2:ca:ce:<*> stale dis-connect event from (<*>:0b:2a:cf:e9:<*>),1
80a1bfc0,<*> client dev is NULL,149
c153364c,"<*> No suitable BSS found, cli <*> going to the idle state",9
0d82af99,<*> tx multicast <*> with vs tlv on eth<*>,10
8986c740,"nr_peer_btm_query_action: query_len <*> , nrlist.CurrListNum <*>",6
59ab496f,"nr_peer_btm_query_action: query_reason <*> , suppose to be <*>...",6
8c667ab0,nr_peer_btm_query_action: unrecognized sub-element ID <*> ...,6
77d2c1ff,"mbo_make_mbo_ie_for_btm no need to add, return.",6
220dac77,should have never happened,13
fe4227ed,error ap metrics tlv,13
9f22278f,failed to parse resp msg,13
c3712231,something wrong: not found assoc_client <*> at bss <*>,4
2c61910e,invalid almac(<*>:0b:2a:f1:ba:<*>),83
13a0d736,invalid almac(<*>:0b:2a:bf:e9:<*>),45
89019dca,<*> Channel <*> is present in operating list,14
cb8cee3c,<*> remove radio from the list,14
1d2d4039,invalid almac(<*>:0b:2a:bf:e9:c4),7
8d2b6ff2,No more room to accomodate <*> that has joined a BSS on another device,39
a9c401f8,invalid param dev null or dev->in_network (<*>)!!!,5
7329139c,"cont_radio_cnt <*>, dev_radio_cnt <*>",13
ad72d61f,radio mapping pending for CLI interface <*>,7
aa45c977,IFace Radio is NULL,5
108ecbec,topo server doesn't have <*> with <*>,38
30fc5842,error tx link metrics tlv,38
c17026e0,connected(<*>:0b:2a:ff:e9:c5) n_iface(2e:0b:2a:bf:e9:<*>),10
647c49fc,connected(2e:0b:2a:bf:e9:<*>) n_iface(<*>:0b:2a:ff:e9:c5),11
2d662a75,drop <*> <*> msgtype=0x<*>,49
080ecf98,config push to <*>,46
60e69528,"Uinitialized radio, continuing",124
