BSSID,Frequency,Band,Signal (dBm),SSID
26:0b:2a:c1:ba:51,5560,5GHz,-43.0,VHT KEANGNAM
26:0b:2a:df:e9:33,5560,5GHz,-46.0,VHT KEANGNAM 5GHz
26:0b:2a:b1:b9:20,5540,5GHz,-42.0,
26:0b:2a:b1:f7:20,5560,5GHz,-61.0,
26:0b:2a:d1:ba:51,5560,5GHz,-43.0,VHT KEANGNAM 5GHz
26:0b:2a:f1:ba:51,5560,5GHz,-43.0,
26:0b:2a:cf:e9:33,5560,5GHz,-44.0,VHT KEANGNAM
26:0b:2a:ff:e9:33,5560,5GHz,-44.0,
02:0c:43:46:60:c8,5560,5GHz,-48.0,VIETTEL_AP_BFE97E
02:0c:43:76:60:c8,5560,5GHz,-47.0,
26:0b:2a:cf:e9:7f,5560,5GHz,-40.0,VIETTEL_AP_BFE97E
26:0b:2a:ff:e9:7f,5560,5GHz,-41.0,
24:0b:2a:d1:00:ad,5560,5GHz,-63.0,VIETTEL_D100A8
26:0b:2a:b1:00:ac,5560,5GHz,-61.0,
24:0b:2a:f1:b9:21,5540,5GHz,-40.0,VIETTEL_F1B91C
24:0b:2a:c1:f7:21,5560,5GHz,-61.0,VIETTEL_C1F71C
26:0b:2a:c1:ba:7d,5540,5GHz,-37.0,_VHT-MESH-20Users
24:0b:2a:bf:e7:9c,2432,2.4GHz,-32.0,tthanhtm
26:0b:2a:f1:ba:7d,5540,5GHz,-38.0,
26:0b:2a:47:5b:c7,2432,2.4GHz,-36.0,VIETTEL_F1B91C
5c:18:dd:57:9b:b0,2437,2.4GHz,-39.0,FPT Telecom-9BAD-IOT
24:0b:2a:bf:e8:f8,2447,2.4GHz,-33.0,VHT-MESH ONT6
24:0b:2a:bf:e8:20,2447,2.4GHz,-29.0,hieupt35_ont6
5c:18:dd:57:9b:b1,2437,2.4GHz,-39.0,FPT Mesh
26:0b:2a:cf:e9:c5,5560,5GHz,-74.0,VHT KEANGNAM
26:0b:2a:ff:e9:c5,5560,5GHz,-71.0,
24:0b:2a:bf:e9:8f,2452,2.4GHz,-41.0,LeTTM2
26:0b:2a:9f:e9:cd,2452,2.4GHz,-42.0,AB
24:0b:2a:bf:e9:af,2447,2.4GHz,-41.0,VHT-MESH ONT6
24:0b:2a:ff:f3:a4,2447,2.4GHz,-28.0,JBT
26:0b:2a:df:e9:c5,5560,5GHz,-71.0,VHT KEANGNAM 5GHz
24:0b:2a:30:12:24,2447,2.4GHz,-29.0,VIETTEL_301220
24:0b:2a:bf:e9:bf,2447,2.4GHz,-34.0,VIETTEL_F1B91C
24:0b:2a:bf:e7:cc,2452,2.4GHz,-29.0,VIETTEL_BFE7C8
00:aa:bb:01:23:44,2442,2.4GHz,-34.0,VIETTEL_012340
24:0b:2a:12:34:54,2457,2.4GHz,-46.0,VIETTEL_123450
24:0b:2a:bf:e7:dc,2467,2.4GHz,-36.0,ONT6_DUYHH2_AGING
24:0b:2a:bf:e9:23,2467,2.4GHz,-25.0,VIETTEL_AP_BFE922
24:0b:2a:c1:9d:70,2467,2.4GHz,-43.0,VIETTEL_C19D6C
26:0b:2a:11:b8:dc,2462,2.4GHz,-35.0,VIETTEL_GUEST2
26:0b:2a:cf:e9:23,5180,5GHz,-32.0,VIETTEL_AP_BFE922
24:0b:2a:f3:72:c5,5200,5GHz,-57.0,VIETTEL_F372C0
26:0b:2a:b3:72:c4,5200,5GHz,-58.0,
26:0b:2a:af:e8:5c,5200,5GHz,-42.0,VIETTEL_14654646888
26:0b:2a:bf:e8:5c,5200,5GHz,-43.0,
24:0b:2a:25:12:9d,5220,5GHz,-37.0,VIETTEL_251298
02:0c:43:46:60:f0,5220,5GHz,-36.0,VIETTEL_AP_199803
24:0b:2a:bf:e7:cd,5220,5GHz,-31.0,VIETTEL_BFE7C8
26:0b:2a:bf:e8:20,5220,5GHz,-34.0,
26:0b:2a:b5:12:9c,5220,5GHz,-38.0,
24:0b:2a:12:34:55,5240,5GHz,-50.0,VIETTEL_123450
5c:18:dd:57:9b:b9,5240,5GHz,-41.0,FPT Mesh
5c:18:dd:57:9b:bc,5240,5GHz,-41.0,
5c:18:dd:57:9b:b8,5240,5GHz,-41.0,FPT Telecom-9BAD-IOT
24:0b:2a:bf:e8:0d,5260,5GHz,-58.0,01234
26:0b:2a:cf:e9:a7,5260,5GHz,-55.0,01234
24:0b:2a:bf:e7:dd,5260,5GHz,-36.0,ONT6_DUYHH2_AGING
26:0b:2a:9f:e8:f8,5280,5GHz,-46.0,VHT-MESH ONT6 5GHz
24:0b:2a:bf:e8:f9,5280,5GHz,-46.0,VHT-MESH ONT6
24:0b:2a:27:ec:87,5300,5GHz,-51.0,DVSBH
24:0b:2a:79:9f:4d,5300,5GHz,-45.0,VIETTEL_799F48
26:0b:2a:37:ec:87,5300,5GHz,-50.0,
24:0b:88:45:18:2d,5320,5GHz,-68.0,VIETTEL-0E22
26:0b:88:45:18:2d,5320,5GHz,-69.0,
26:0b:2a:ff:e9:5d,5500,5GHz,-38.0,
24:0b:2a:5e:29:aa,5520,5GHz,-47.0,ONT_5E29A8
26:0b:2a:3e:29:aa,5520,5GHz,-46.0,
26:0b:2a:cf:e9:57,5520,5GHz,-51.0,VIETTEL_280688_5G
26:0b:2a:ff:e9:57,5520,5GHz,-51.0,
26:0b:2a:cf:e9:83,5540,5GHz,-52.0,VIETTEL_AP_test_SFU
24:0b:2a:77:5b:c7,5540,5GHz,-38.0,VIETTEL_F1B91C
26:0b:2a:ff:e9:83,5540,5GHz,-52.0,
26:0b:2a:37:5b:c7,5540,5GHz,-37.0,
26:0b:2a:ff:e9:bf,5540,5GHz,-34.0,
24:0b:2a:c1:cf:55,5745,5GHz,-55.0,VIETTEL_C1CF50
00:aa:bb:01:23:50,5745,5GHz,-70.0,VIETTEL_XXXXXX
26:0b:2a:b1:cf:54,5745,5GHz,-55.0,
24:0b:2a:bf:e7:ed,5745,5GHz,-39.0,VIETTEL_BFE7E8
26:0b:2a:bf:e7:ec,5745,5GHz,-39.0,
24:0b:2a:5e:29:b2,5765,5GHz,-46.0,VHT-MESH ONT5
24:0b:2a:1f:bb:82,5765,5GHz,-48.0,NULL
26:0b:2a:3e:29:b2,5765,5GHz,-46.0,
24:0b:2a:bf:e7:9d,5765,5GHz,-40.0,tthanht
26:0b:2a:cf:e9:91,5785,5GHz,-42.0,VHT-MESH XGSPON
26:0b:2a:ff:e9:91,5785,5GHz,-41.0,
24:0b:2a:79:9f:35,5785,5GHz,-52.0,VHT-MESH XGSPON
24:0b:2a:f1:b9:31,5785,5GHz,-28.0,ONTw6_HUONGTV2
24:0b:2a:f1:b8:dd,5785,5GHz,-46.0,VIETTEL_F1B8D8
26:0b:2a:cf:e9:89,5785,5GHz,-50.0,VHT-MESH XGSPON
26:0b:2a:b1:b8:dc,5785,5GHz,-47.0,
26:0b:2a:ff:e9:89,5785,5GHz,-52.0,
26:0b:2a:b1:b9:30,5785,5GHz,-29.0,
24:0b:2a:dd:53:0d,5805,5GHz,-59.0,Test
26:0b:2a:bd:53:0c,5805,5GHz,-59.0,
26:0b:2a:91:ba:51,2432,2.4GHz,-36.0,VHT KEANGNAM 2GHz
24:0b:2a:f1:b9:20,2447,2.4GHz,-37.0,VIETTEL_F1B91C
4c:12:e8:f9:ae:07,2462,2.4GHz,-37.0,VNPT-5G
24:0b:2a:bf:e7:98,2467,2.4GHz,-58.0,OCTOBOX_LAB_INET
24:0b:88:45:18:29,2472,2.4GHz,-47.0,VIETTEL-0E22
02:0c:43:76:60:f0,5220,5GHz,-36.0,
24:0b:2a:bf:e8:2c,2412,2.4GHz,-44.0,VHT-MESH
24:0b:2a:5e:28:79,2412,2.4GHz,-49.0,DVSBH
24:0b:2a:bf:e9:5d,2412,2.4GHz,-37.0,VHT-MESH
24:0b:2a:bf:e9:7f,2412,2.4GHz,-31.0,VIETTEL_AP_BFE97E
24:0b:2a:bf:e9:a3,2412,2.4GHz,-41.0,VHT-MESH
26:0b:2a:1f:e8:5c,2412,2.4GHz,-31.0,ONTw6 test
26:0b:2a:a1:ba:41,2412,2.4GHz,-45.0,VIETTEL_ tesxsdd
24:0b:2a:bf:e9:4b,2422,2.4GHz,-15.0,.-_-.
24:0b:2a:bf:e9:a1,2412,2.4GHz,-46.0,VHT-MESH
26:0b:2a:cf:e9:bf,5540,5GHz,-34.0,VIETTEL_F1B91C
24:0b:2a:bf:e9:89,2427,2.4GHz,-47.0,VHT-MESH XGSPON
24:0b:2a:5e:29:b1,2427,2.4GHz,-32.0,VHT-MESH ONT5
24:0b:2a:f1:b9:30,2432,2.4GHz,-21.0,ONTw6_HUONGTV2
24:0b:2a:25:12:9c,2427,2.4GHz,-41.0,VIETTEL_251298
24:0b:2a:5e:29:a9,2427,2.4GHz,-39.0,ONT_5E29A8
24:0b:2a:f1:ba:51,2432,2.4GHz,-33.0,VHT KEANGNAM
24:0b:2a:28:06:8c,2432,2.4GHz,-29.0,VIETTEL_280688
24:0b:2a:bf:e9:cd,2452,2.4GHz,-44.0,LeTTM2
26:0b:2a:9f:e9:8f,2452,2.4GHz,-40.0,AB
24:0b:2a:bf:e8:8c,2452,2.4GHz,-53.0,LeTTM2
64:6e:60:16:2c:d2,2462,2.4GHz,-37.0,ZTE_2.4G
24:0b:2a:bf:e7:ec,2467,2.4GHz,-41.0,VIETTEL_BFE7E8
00:0c:43:26:60:f0,2467,2.4GHz,-41.0,VIETTEL_AP_199803
26:0b:2a:11:9d:70,5560,5GHz,-44.0,VIETTEL_D6C_SSID2_2G
24:0b:2a:f1:14:08,2462,2.4GHz,-45.0,VIETTEL_F11404
